"price","year","manufacturer","condition","fuel","odometer","title_status","transmission","drive","state","lat","long"
"Diff",2020,"C","good","gas",17622,"ok","automatic","4wd","al",32.59,-85.48
"Easy",2018,"D","excellent","gas",39784,"ok","automatic","fwd","al",38.641098,-121.428624
"Diff",2010,"C","good","gas",5360,"ok","other","rwd","al",33.52,-86.79
"Easy",2017,"C","like new","gas",60548,"ok","automatic","rwd","al",33.669601,-86.817617
"Easy",2000,"D","good","gas",65000,"ok","automatic","fwd","al",33.4653,-86.8082
"Easy",2007,"C","good","gas",180,"ok","automatic","4wd","al",33.6339,-86.5981
"Easy",2010,"C","good","gas",99959,"ok","automatic","rwd","al",34.586557,-83.761243
"Easy",2018,"C","good","gas",37942,"ok","automatic","fwd","al",34.586557,-83.761243
"Easy",2005,"C","good","gas",214146,"ok","automatic","4wd","al",34.586557,-83.761243
"Easy",2010,"C","good","gas",55979,"ok","automatic","fwd","al",34.586557,-83.761243
"Easy",2011,"C","good","gas",93750,"ok","automatic","fwd","al",34.586557,-83.761243
"Easy",2006,"C","good","gas",139921,"ok","automatic","fwd","al",34.586557,-83.761243
"Diff",2019,"C","good","gas",10090,"ok","other","fwd","al",33.52,-86.79
"Diff",2002,"A","excellent","diesel",110000,"ok","automatic","4wd","al",33.6339,-86.5981
"Easy",2005,"C","excellent","gas",199573,"ok","automatic","fwd","al",33.455361,-86.962474
"Diff",2014,"C","excellent","diesel",125835,"ok","automatic","4wd","al",29.818173,-95.668628
"Easy",2014,"C","excellent","gas",26922,"ok","automatic","fwd","al",33.168322,-87.491902
"Easy",1999,"C","good","gas",21300,"ok","automatic","4wd","al",33.608,-86.6302
"Easy",2019,"C","good","gas",122707,"ok","automatic","fwd","al",33.604383,-86.279583
"Easy",2013,"C","good","gas",174623,"ok","automatic","4wd","al",33.841787,-87.248248
"Easy",1941,"C","good","gas",999999,"notok","automatic","rwd","al",33.4328,-86.6225
"Easy",2012,"C","excellent","gas",103421,"ok","automatic","rwd","al",34.9506,-85.2432
"Diff",2017,"C","good","gas",146545,"ok","automatic","fwd","al",34.9506,-85.2432
"Diff",1966,"D","good","gas",0,"ok","automatic","fwd","al",48.432675,-122.339826
"Easy",2009,"B","fair","gas",125000,"ok","automatic","4wd","al",33.7174,-87.042
"Easy",2009,"C","good","gas",198098,"ok","automatic","fwd","al",33.20968,-86.782894
"Easy",2016,"D","good","gas",83513,"ok","automatic","fwd","al",32.9229,-86.545
"Easy",2011,"C","like new","gas",197300,"ok","automatic","rwd","al",34.019717,-84.615857
"Diff",2012,"C","excellent","gas",55598,"ok","automatic","fwd","al",34.9506,-85.2432
